CBD Product Line,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,Initial Stock Order,,
,Suggested MSRP,Cost,Profit,Margin,,Initial Qty Order,Total Order $,Completed,Current shelf stock
,,,,,,,,,7/21/2021
"750mg new lotion ""Natural Hemp""", $ 52.99 , $ 23.00 , $ 29.99 ,57%,,20, $ 460.00 ,20,16
"750mg Spring Flower lotion ""SunFlowers""", $ 52.99 , $ 23.00 , $ 29.99 ,57%,,10, $ 230.00 ,10,13
,,,,,,,,,
1500mg CBD oil in Hemp Seed NAT, $ 109.99 , $ 49.00 , $ 60.99 ,55%,,10, $ 490.00 ,10,9
1500mg CBD oil in Hemp Seed PEPP, $ 109.99 , $ 49.00 , $ 60.99 ,55%,,10, $ 490.00 ,10,9
1500mg CBD oil in Hemp Seed with Terps BERRY, $ 109.99 , $ 52.00 , $ 57.99 ,53%,,10, $ 520.00 ,10,10
1500mg CBD oil in Hemp Seed with Terps APPLE, $ 109.99 , $ 52.00 , $ 57.99 ,53%,,10, $ 520.00 ,10,10
1500mg CBD oil in Hemp Seed with Terps LEMON, $ 109.99 , $ 52.00 , $ 57.99 ,53%,,10, $ 520.00 ,10,10
1500mg CBD oil in Hemp Seed with Passion Flower (PM) Pepp, $ 109.99 , $ 49.00 , $ 60.99 ,55%,,20, $ 980.00 ,5-30ml and 17-5ml on 12/21/20,2
,,,,,,,,,
2000mg CBD oil in Hemp Seed NAT, $ 109.99 , $ 50.00 , $ 59.99 ,55%,,10, $ 500.00 ,11,11
2000mg CBD oil in Hemp Seed PEPP, $ 109.99 , $ 50.00 , $ 59.99 ,55%,,10, $ 500.00 ,12,12
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,, $ 169.00 ,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
This color means it has been sent in for 3rd party lab test CBD/THC,,,,,,," $ 5,379.00 ",,
"Includes formulation, bottling, and Peak City CBD COA showing CBD%",,,,,,,,,
Topicals comes in 2oz amber jar. Oils in 30ml amber dropper bottle.,,,,,,,,,
